Absolute Path,Relative Path,Filename
C:\Users\Yaroslav\Desktop\lab2\images\000001.jpg,images\000001.jpg,000001.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000002.jpg,images\000002.jpg,000002.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000003.jpg,images\000003.jpg,000003.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000004.jpg,images\000004.jpg,000004.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000005.jpg,images\000005.jpg,000005.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000006.jpg,images\000006.jpg,000006.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000007.jpg,images\000007.jpg,000007.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000008.jpg,images\000008.jpg,000008.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000009.jpg,images\000009.jpg,000009.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000010.jpg,images\000010.jpg,000010.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000011.jpg,images\000011.jpg,000011.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000012.jpg,images\000012.jpg,000012.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000013.jpg,images\000013.jpg,000013.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000014.jpg,images\000014.jpg,000014.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000015.jpg,images\000015.jpg,000015.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000016.jpg,images\000016.jpg,000016.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000017.jpg,images\000017.jpg,000017.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000018.jpg,images\000018.jpg,000018.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000019.jpg,images\000019.jpg,000019.jpg
C:\Users\Yaroslav\Desktop\lab2\images\000020.jpg,images\000020.jpg,000020.jpg
